Date,Open,High,Low,Close,Adj Close,Volume
"Jul 21, 2020",1639.93,1675.00,1558.00,1568.36,1568.36,16157300.00
"Jul 22, 2020",1599.00,1626.42,1562.00,1592.33,1592.33,13902500.00
"Jul 23, 2020",1678.95,1689.00,1480.77,1513.07,1513.07,24203600.00
