Date,Close,Open,Volume,Predictions
2019-08-20,225.86000099999998,227.61999500000002,4125200,223.3588182267376
2019-08-21,220.830002,222.00999500000003,7794300,228.2026986740822
2019-08-22,222.149994,222.80000299999998,6559000,220.4764378324943
2019-08-23,211.399994,219.97000099999997,8538600,220.05624574235193
2019-08-26,215.0,213.600006,5051900,216.1775593585798
2019-08-27,214.080002,215.74000499999997,5416200,213.46278993818328
2019-08-28,215.58999599999999,213.690002,3225500,214.5325189367199
2019-08-29,221.710007,219.0,5179500,216.5587070823884
2019-08-30,225.61000099999998,229.149994,9320600,219.4942000295255
2019-09-03,225.00999500000003,224.080002,5354100,224.1285632087826
2019-09-04,220.67999300000002,226.88999900000002,5761000,224.9721999026688
2019-09-05,229.580002,222.5,7395300,222.21255573675333
2019-09-06,227.44999700000002,227.19999700000002,4189400,223.95777783847325
2019-09-09,231.789993,230.0,4802700,226.25229835626277
2019-09-10,235.539993,230.80000299999998,4883700,229.08262432976642
2019-09-11,247.100006,237.38000499999998,10042800,232.42953894281487
2019-09-12,245.86999500000002,247.69999700000002,8581200,242.2346672879221
2019-09-13,245.19999700000002,246.960007,5313100,246.32447589190824
2019-09-16,242.809998,246.0,4728100,246.61725892850492
2019-09-17,244.789993,242.47000099999997,3865400,243.52391254832543
2019-09-18,243.49000499999997,245.0,4170200,244.62030789745924
2019-09-19,246.600006,246.0,4795800,243.52631287495706
2019-09-20,240.61999500000002,246.49000499999997,6353000,244.2757118930977
2019-09-23,241.229996,240.0,4340200,241.11509245320926
2019-09-24,223.210007,241.520004,12891500,239.87209964059272
2019-09-25,228.69999700000002,224.559998,9427100,227.06182626668203
2019-09-26,242.559998,230.66000400000001,11884500,224.26153278230635
2019-09-27,242.13000499999998,242.19999700000002,11116400,233.7380791365265
2019-09-30,240.86999500000002,243.0,5879800,243.08963096694876
2019-10-01,244.690002,241.5,6162600,241.63937208015665
2019-10-02,243.13000499999998,243.289993,5631400,242.3362976856308
2019-10-03,233.02999900000003,231.86000099999998,15084500,244.1421812964855
2019-10-04,231.42999300000002,231.61000099999998,7995000,233.06405605586613
2019-10-07,237.72000099999997,229.80000299999998,8064200,230.8576090614072
2019-10-08,240.05000299999998,235.86999500000002,8678200,233.97287084982716
