Date,Close,Open,Volume,Predictions
2018-10-08,250.559998,264.519989,13472700,278.3750545379465
2018-10-09,262.799988,255.25,12060600,263.95625084430714
2018-10-10,256.880005,264.609985,12815300,259.07713081072166
2018-10-11,252.229996,257.52999900000003,8167700,260.1105772415055
2018-10-12,258.77999900000003,261.0,7201400,259.5855758102194
2018-10-15,259.589996,259.059998,6200000,257.110475564199
2018-10-16,276.589996,265.700012,9526400,258.29223223820924
2018-10-17,271.77999900000003,282.399994,8655500,264.6894878835721
2018-10-18,263.910004,269.290009,5421200,271.06590054921185
2018-10-19,260.0,267.390015,9375500,271.8095734627274
2018-10-22,260.950012,260.679993,5600300,262.8466822267085
2018-10-23,294.140015,263.869995,19027800,260.3453664316575
2018-10-24,288.5,301.049988,20058300,271.78796811038507
2018-10-25,314.859985,317.22000099999997,20840700,282.07355426425613
2018-10-26,330.899994,308.25,27425500,307.20746916078065
2018-10-29,334.850006,337.47000099999997,14486000,319.1163048493597
2018-10-30,329.899994,328.390015,9126700,330.2628829937799
2018-10-31,337.320007,332.540009,7624300,331.1259894895183
2018-11-01,344.27999900000003,338.26001,8000100,333.09747069856473
2018-11-02,346.410004,343.73999,7808000,336.71208066797647
2018-11-05,341.399994,340.5,7831000,340.3272516285609
2018-11-06,341.059998,339.070007,6762900,339.99566269234504
2018-11-07,348.160004,343.339996,7374500,338.39633439661526
2018-11-08,351.399994,348.5,7090700,340.1266037858021
2018-11-09,350.51001,349.0,5098800,342.745368117388
2018-11-12,331.27999900000003,348.369995,6941500,346.7192857407012
2018-11-13,338.730011,333.160004,5448600,340.7634726106745
2018-11-14,344.0,342.700012,5040300,335.391435525563
2018-11-15,348.440002,342.329987,4625700,335.2217716568025
2018-11-16,354.309998,345.190002,7206200,340.65950224667273
2018-11-19,353.47000099999997,356.339996,9708900,343.95866256437466
2018-11-20,347.48999,341.75,8004700,347.7511211199123
2018-11-21,338.190002,352.0,4686800,346.467472626117
2018-11-23,325.829987,334.350006,4202600,343.1107315990765
2018-11-26,346.0,325.0,7992100,335.8550156156361
2018-11-27,343.920013,340.049988,6358300,329.2959931310973
2018-11-28,347.869995,345.98999,4127600,331.3724084582114
2018-11-29,341.170013,347.0,3080700,343.47892880540644
2018-11-30,350.480011,341.829987,5629100,342.04359692915426
2018-12-03,358.48999,360.0,8306500,339.0346272760029
2018-12-04,359.700012,356.049988,8461900,345.92466332119585
2018-12-06,363.059998,356.01001,7842500,351.8618055142449
2018-12-07,357.97000099999997,369.0,11511200,355.3874911905937
2018-12-10,365.149994,360.0,6613500,357.2601372625267
2018-12-11,366.76001,369.910004,6308800,358.11456997167227
2018-12-12,366.600006,369.420013,5027000,362.6899276696453
2018-12-13,376.790009,370.149994,7365900,363.8640534252683
2018-12-14,365.709991,375.0,6337600,362.6716307267828
2018-12-17,348.420013,362.0,7674000,363.4183531307754
2018-12-18,337.02999900000003,350.540009,7100000,355.14609237367654
2018-12-19,332.97000099999997,337.600006,8274200,346.4871504703276
2018-12-20,315.380005,327.049988,9071900,335.72236277988287
2018-12-21,319.769989,317.399994,8016800,327.17559034229015
2018-12-24,295.390015,313.5,5559900,318.18201001224827
2018-12-26,326.089996,300.0,8163100,310.67551659023474
2018-12-27,316.130005,319.839996,8575100,307.0671782144457
2018-12-28,333.869995,323.100006,9939000,311.9998729050213
2018-12-31,332.799988,337.790009,6302300,322.78190747792837
2019-01-02,310.119995,306.100006,11658600,329.74879931377734
2019-01-03,300.359985,307.0,6965200,319.7985420372733
2019-01-04,317.690002,306.0,7394100,313.2930294799739
2019-01-07,334.959991,321.72000099999997,7551200,309.3870349417211
2019-01-08,335.350006,341.959991,7008500,316.4130466165361
2019-01-09,338.52999900000003,335.5,5432900,331.7895988936213
2019-01-10,344.97000099999997,334.399994,6056400,335.1026689155277
2019-01-11,347.26001,342.089996,5039100,336.45185268580224
2019-01-14,334.399994,342.380005,5247300,338.2545043206527
2019-01-15,344.429993,335.0,6056600,337.5061564806982
2019-01-16,346.049988,344.77999900000003,4691700,334.12640043118915
2019-01-17,347.309998,346.209991,3676700,335.84973654485736
2019-01-18,302.26001,323.0,24150800,342.3340896658747
2019-01-22,298.920013,304.820007,12066700,331.2793846142713
2019-01-23,287.589996,292.5,12530000,309.33527990994486
2019-01-24,291.51001,283.02999900000003,8012200,299.0531316250551
2019-01-25,297.040009,294.390015,7249600,292.6093424811386
2019-01-28,296.380005,292.910004,6423300,293.18689008559824
2019-01-29,297.459991,295.269989,4621700,295.4806103779827
2019-01-30,308.769989,300.450012,11250300,296.0492540456248
2019-01-31,307.019989,301.0,12569200,299.45829671122516
2019-02-01,312.209991,305.420013,7283400,302.2250476372839
2019-02-04,312.890015,312.980011,7352100,309.66817782556365
2019-02-05,321.350006,312.48999,6742800,311.1349108230964
2019-02-06,317.22000099999997,319.589996,5038500,313.6724896629244
2019-02-07,307.51001,313.299988,6520600,316.440851640556
2019-02-08,305.799988,306.829987,5844200,312.0995567210883
2019-02-11,312.839996,311.600006,7129700,307.7513860636581
2019-02-12,311.809998,316.200012,5517600,307.184425369534
2019-02-13,308.170013,312.350006,5141600,309.0673706640217
2019-02-14,303.769989,303.380005,5200800,308.58077555148003
2019-02-15,307.880005,304.5,3904900,305.2130016980437
2019-02-19,305.640015,306.559998,4168400,302.6217259339187
2019-02-20,302.559998,304.410004,7142100,304.41649492357374
2019-02-21,291.230011,301.809998,8909200,302.43957641546905
2019-02-22,294.709991,294.48999,5740600,298.9391497262795
2019-02-25,298.769989,297.910004,6626500,294.16993361717596
2019-02-26,297.859985,292.22000099999997,8582500,296.1173353589647
2019-02-27,314.73999,301.77999900000003,11183900,295.6397448739638
2019-02-28,319.880005,318.920013,10520700,302.4690212598398
2019-03-01,294.790009,306.940002,22911400,312.33638130228985
2019-03-04,285.359985,298.119995,17096800,309.515904683156
2019-03-05,276.540009,282.0,18764700,300.4729858986971
2019-03-06,276.23999,276.480011,10335500,286.35860622256627
2019-03-07,276.589996,278.839996,9442500,281.2646769152093
2019-03-08,284.140015,276.910004,8819600,278.3727530356996
2019-03-11,290.920013,283.519989,7392300,278.99303666000554
2019-03-12,283.359985,286.48999,7504100,283.7406761855448
2019-03-13,288.959991,283.899994,6844700,285.98397919433415
2019-03-14,289.959991,292.450012,7103400,284.90420064644326
2019-03-15,275.429993,283.51001,14785500,287.2739568193083
2019-03-18,269.48999,276.0,10281000,284.4274156872288
2019-03-19,267.47000099999997,267.5,11800600,277.91768850393987
2019-03-20,273.600006,269.690002,6908200,269.94499703304746
2019-03-21,274.019989,272.600006,5947100,268.54854616037807
2019-03-22,264.52999900000003,272.579987,8745600,273.56560529269
2019-03-25,260.420013,259.709991,10215000,270.94356132040235
2019-03-26,267.769989,264.440002,7350900,264.12503007314143
2019-03-27,274.829987,268.75,8779200,261.9312237470486
2019-03-28,278.619995,277.160004,6774100,270.731636116634
2019-03-29,279.859985,278.700012,5991300,273.1520828764861
2019-04-01,289.179993,282.619995,8110400,278.36853840971
2019-04-02,285.880005,288.299988,5478900,281.27294793890894
2019-04-03,291.809998,287.320007,7929900,284.68153030405983
2019-04-04,267.77999900000003,261.890015,23720700,287.08547816967973
2019-04-05,274.959991,269.859985,13038300,280.3147894003754
2019-04-08,273.200012,277.690002,10410400,270.80686647132814
2019-04-09,272.309998,271.649994,5904000,277.131293954967
2019-04-10,276.059998,276.73999,7061300,274.8702549944879
2019-04-11,268.420013,268.299988,9835900,273.8095357620788
2019-04-12,267.700012,270.22000099999997,6746000,271.93763767837595
2019-04-15,266.380005,268.630005,10038600,268.78033620541464
2019-04-16,273.359985,265.75,7272900,267.1258293933165
2019-04-17,271.230011,274.75,5126500,266.95646759672593
2019-04-18,273.26001,271.230011,5876300,271.7204190194398
